2023-07-04 16:18:40 status half-configured mawk:amd64 1.3.4.20200120-3
2023-07-04 16:18:40 status unpacked mawk:amd64 1.3.4.20200120-3
2023-07-04 16:18:40 status half-installed mawk:amd64 1.3.4.20200120-3
2023-07-04 16:18:40 status unpacked mawk:amd64 1.3.4.20200120-3
2023-07-04 16:18:40 install mount:amd64 <none> 2.37.2-4ubuntu3
2023-07-04 16:18:40 status half-installed mount:amd64 2.37.2-4ubuntu3
2023-07-04 16:18:40 status unpacked mount:amd64 2.37.2-4ubuntu3
2023-07-04 16:18:40 install ncurses-base:all <none> 6.3-2
2023-07-04 16:18:40 status half-installed ncurses-base:all 6.3-2
2023-07-04 16:18:40 status unpacked ncurses-base:all 6.3-2
2023-07-04 16:18:41 install ncurses-bin:amd64 <none> 6.3-2
2023-07-04 16:18:41 status half-installed ncurses-bin:amd64 6.3-2
2023-07-04 16:18:41 status unpacked ncurses-bin:amd64 6.3-2
2023-07-04 16:18:41 install passwd:amd64 <none> 1:4.8.1-2ubuntu2
2023-07-04 16:18:41 status half-installed passwd:amd64 1:4.8.1-2ubuntu2
2023-07-04 16:18:41 status unpacked passwd:amd64 1:4.8.1-2ubuntu2
2023-07-04 16:18:41 upgrade perl-base:amd64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2023-07-04 16:18:41 status half-configured perl-base:amd64 5.34.0-3ubuntu1
2023-07-04 16:18:41 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2023-07-04 16:18:41 status half-installed perl-base:amd64 5.34.0-3ubuntu1
2023-07-04 16:18:41 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2023-07-04 16:18:41 install procps:amd64 <none> 2:3.3.17-6ubuntu2
2023-07-04 16:18:41 status half-installed procps:amd64 2:3.3.17-6ubuntu2
2023-07-04 16:18:41 status unpacked procps:amd64 2:3.3.17-6ubuntu2
2023-07-04 16:18:41 install sed:amd64 <none> 4.8-1ubuntu2
2023-07-04 16:18:41 status half-installed sed:amd64 4.8-1ubuntu2
2023-07-04 16:18:41 status unpacked sed:amd64 4.8-1ubuntu2
2023-07-04 16:18:41 install sensible-utils:all <none> 0.0.17
2023-07-04 16:18:41 status half-installed sensible-utils:all 0.0.17
2023-07-04 16:18:41 status unpacked sensible-utils:all 0.0.17
2023-07-04 16:18:42 install sysvinit-utils:amd64 <none> 3.01-1ubuntu1
2023-07-04 16:18:42 status half-installed sysvinit-utils:amd64 3.01-1ubuntu1
2023-07-04 16:18:42 status unpacked sysvinit-utils:amd64 3.01-1ubuntu1
2023-07-04 16:18:42 install tar:amd64 <none> 1.34+dfsg-1build3
2023-07-04 16:18:42 status half-installed tar:amd64 1.34+dfsg-1build3
2023-07-04 16:18:42 status unpacked tar:amd64 1.34+dfsg-1build3
2023-07-04 16:18:42 install usrmerge:all <none> 25ubuntu2
2023-07-04 16:18:42 status half-installed usrmerge:all 25ubuntu2
2023-07-04 16:18:42 status unpacked usrmerge:all 25ubuntu2
2023-07-04 16:18:42 install util-linux:amd64 <none> 2.37.2-4ubuntu3
2023-07-04 16:18:42 status half-installed util-linux:amd64 2.37.2-4ubuntu3
2023-07-04 16:18:42 status unpacked util-linux:amd64 2.37.2-4ubuntu3
2023-07-04 16:18:42 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu9
2023-07-04 16:18:42 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2023-07-04 16:18:42 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2023-07-04 16:18:42 startup packages configure
2023-07-04 16:18:42 configure lsb-base:all 11.1.0ubuntu4 <none>
2023-07-04 16:18:42 status unpacked lsb-base:all 11.1.0ubuntu4
2023-07-04 16:18:42 status half-configured lsb-base:all 11.1.0ubuntu4
2023-07-04 16:18:42 status installed lsb-base:all 11.1.0ubuntu4
2023-07-04 16:18:42 configure libtirpc-common:all 1.3.2-2build1 <none>
2023-07-04 16:18:42 status unpacked libtirpc-common:all 1.3.2-2build1
2023-07-04 16:18:42 status half-configured libtirpc-common:all 1.3.2-2build1
2023-07-04 16:18:42 status installed libtirpc-common:all 1.3.2-2build1
2023-07-04 16:18:42 configure libaudit-common:all 1:3.0.7-1build1 <none>
2023-07-04 16:18:42 status unpacked libaudit-common:all 1:3.0.7-1build1
2023-07-04 16:18:42 status half-configured libaudit-common:all 1:3.0.7-1build1
2023-07-04 16:18:42 status installed libaudit-common:all 1:3.0.7-1build1
2023-07-04 16:18:42 configure libsemanage-common:all 3.3-1build2 <none>
2023-07-04 16:18:42 status unpacked libsemanage-common:all 3.3-1build2
2023-07-04 16:18:42 status half-configured libsemanage-common:all 3.3-1build2
2023-07-04 16:18:42 status installed libsemanage-common:all 3.3-1build2
2023-07-04 16:18:42 configure gcc-12-base:amd64 12-20220319-1ubuntu1 <none>
2023-07-04 16:18:42 status unpacked gcc-12-base:amd64 12-20220319-1ubuntu1
2023-07-04 16:18:42 status half-configured gcc-12-base:amd64 12-20220319-1ubuntu1
2023-07-04 16:18:42 status installed gcc-12-base:amd64 12-20220319-1ubuntu1
2023-07-04 16:18:42 configure ncurses-base:all 6.3-2 <none>
